number of bedrooms,number of bathrooms,living area,lot area,number of floors,number of views,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,Number of schools nearby,Distance from the airport,Price
5,2.5,3650,9050,2,4,3370,280,1921,0,122003,52.8645,-114.557,2880,2,58,2380000
4,2.5,2920,4000,1.5,0,1910,1010,1909,0,122004,52.8878,-114.47,2470,2,51,1400000
5,2.75,2910,9480,1.5,0,2910,0,1939,0,122004,52.8852,-114.468,2940,1,53,1200000
4,2.5,3310,42998,2,0,3310,0,2001,0,122005,52.9532,-114.321,3350,3,76,838000
3,2,2710,4500,1.5,0,1880,830,1929,0,122006,52.9047,-114.485,2060,1,51,805000
3,2.5,2600,4750,1,0,1700,900,1951,0,122007,52.9133,-114.59,2380,1,67,790000
5,3.25,3660,11995,2,2,3660,0,2006,0,122008,52.7637,-114.05,3320,3,72,785000
3,1.75,2240,10578,2,0,1550,690,1923,0,122006,52.9254,-114.482,1570,3,71,750000
3,2.5,2390,6550,1,2,1440,950,1955,0,122009,52.8014,-114.598,2010,1,73,750000
4,2.25,2200,11250,1.5,0,1300,900,1920,0,122010,52.9145,-114.391,2320,2,53,698000
5,2.5,2820,67518,2,0,2820,0,1979,0,122011,52.8094,-114.215,2820,2,51,675000
4,2,1820,5000,1.5,1,1640,180,1945,0,122006,52.9115,-114.459,2060,2,69,650000
4,2,1520,6200,1.5,0,1520,0,1945,0,122006,52.908,-114.459,1910,3,80,640000
4,2.75,2710,37277,2,0,2710,0,2000,0,122012,52.6934,-114.177,2390,1,74,630000
3,2.25,1750,1572,2.5,0,1470,280,2005,0,122013,52.8798,-114.511,2410,3,51,626000
4,2.5,2820,8408,2,0,2820,0,2014,0,122014,52.9838,-114.515,1300,3,55,625000
4,3.25,2730,54014,1,0,1560,1170,2007,0,122015,52.7433,-114.3,2730,1,70,625000
3,1.75,2360,7291,1,0,1360,1000,1948,0,122016,52.7574,-114.574,1860,2,75,615000
4,2.5,2730,12261,2,0,2730,0,1991,0,122017,52.9719,-114.395,2730,2,70,612500
3,2.5,3240,33151,2,2,3240,0,1995,0,122018,52.5556,-114.568,4050,1,71,604000
3,1.75,2330,14892,1,0,1970,360,1980,0,122019,52.8567,-114.236,2570,1,60,588500
4,2.5,3310,6500,2,0,3310,0,2012,0,122008,52.745,-114.06,2380,2,80,555000
4,2.5,1940,10500,1,0,1140,800,1976,0,122005,52.913,-114.304,2200,1,58,550000
3,1.75,2910,35200,1.5,0,2910,0,1979,0,122020,52.8047,-114.225,2590,3,50,550000
4,2.5,2860,3345,2,0,2190,670,2004,0,122021,53.0035,-114.348,2860,3,73,499950
4,1.75,1600,6380,1,0,1130,470,1959,0,122022,52.931,-114.496,1090,3,50,495000
4,1.75,2190,125452,1,2,2190,0,1968,0,122023,52.5003,-114.259,3000,3,64,491500
