number of bedrooms,number of bathrooms,living area,lot area,number of floors,number of views,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,living_area_renov,Number of schools nearby,Distance from the airport,Price
5,2,3650,9050,2,4,3370,280,1921,0,2880,2,58,2380000
4,2,2920,4000,1,0,1910,1010,1909,0,2470,2,51,1400000
5,2,2910,9480,1,0,2910,0,1939,0,2940,1,53,1200000
4,2,3310,42998,2,0,3310,0,2001,0,3350,3,76,838000
3,2,2710,4500,1,0,1880,830,1929,0,2060,1,51,805000
3,2,2600,4750,1,0,1700,900,1951,0,2380,1,67,790000
5,3,3660,11995,2,2,3660,0,2006,0,3320,3,72,785000
3,1,2240,10578,2,0,1550,690,1923,0,1570,3,71,750000
3,2,2390,6550,1,2,1440,950,1955,0,2010,1,73,750000
4,2,2200,11250,1,0,1300,900,1920,0,2320,2,53,698000
5,2,2820,67518,2,0,2820,0,1979,0,2820,2,51,675000
4,2,1820,5000,1,1,1640,180,1945,0,2060,2,69,650000
4,2,1520,6200,1,0,1520,0,1945,0,1910,3,80,640000
4,2,2710,37277,2,0,2710,0,2000,0,2390,1,74,630000
3,2,1750,1572,2,0,1470,280,2005,0,2410,3,51,626000
4,2,2820,8408,2,0,2820,0,2014,0,1300,3,55,625000
4,3,2730,54014,1,0,1560,1170,2007,0,2730,1,70,625000
3,1,2360,7291,1,0,1360,1000,1948,0,1860,2,75,615000
4,2,2730,12261,2,0,2730,0,1991,0,2730,2,70,612500
3,2,3240,33151,2,2,3240,0,1995,0,4050,1,71,604000
3,1,2330,14892,1,0,1970,360,1980,0,2570,1,60,588500
4,2,3310,6500,2,0,3310,0,2012,0,2380,2,80,555000
4,2,1940,10500,1,0,1140,800,1976,0,2200,1,58,550000
3,1,2910,35200,1,0,2910,0,1979,0,2590,3,50,550000
4,2,2860,3345,2,0,2190,670,2004,0,2860,3,73,499950
4,1,1600,6380,1,0,1130,470,1959,0,1090,3,50,495000
4,1,2190,125452,1,2,2190,0,1968,0,3000,3,64,491500
